space,direction_id,primary_alpha,half_alpha,primary_input_cosine,half_input_cosine,derivative_cosine,derivative_relative_rms_change,primary_response_floor_multiple,half_response_floor_multiple,pass
predicted_latent,train_00,0.003,0.0015,0.9999999999649943,0.9999999998590632,0.9999997031766978,0.0008214675944551618,2442.7794667026433,1221.0415788768378,True
predicted_latent,train_01,0.003,0.0015,0.9999999999655077,0.9999999998593799,0.9999994788830906,0.001023877027847932,2805.156740563944,1402.468099660869,True
predicted_latent,train_02,0.003,0.0015,0.9999999999642858,0.9999999998650669,0.9999957799311516,0.003376664297593575,3512.2900689463345,1753.1157457059417,True
predicted_latent,train_03,0.003,0.0015,0.9999999999643504,0.9999999998612693,0.9999998710286584,0.0005143753502032471,2233.553187218279,1116.6855173719778,True
predicted_latent,train_04,0.003,0.0015,0.9999999999663547,0.9999999998575564,0.9999996313595133,0.0008613775271017518,2824.9137408568786,1412.3594450310693,True
predicted_latent,train_05,0.003,0.0015,0.9999999999656958,0.9999999998620868,0.9999985178371924,0.0018070669894287256,3026.116110140354,1512.2248810509532,True
predicted_latent,train_06,0.003,0.0015,0.9999999999645244,0.9999999998635678,0.9999995630499157,0.0009478257809171538,2367.2424468180548,1183.4353430534588,True
predicted_latent,train_07,0.003,0.0015,0.9999999999642417,0.9999999998605991,0.9999997808416432,0.0006824091921741319,2317.2664174772194,1158.4413206916176,True
predicted_latent,train_08,0.003,0.0015,0.9999999999644511,0.9999999998628282,0.9999996730968645,0.0008240316755965855,2743.8962552400862,1371.7295756526487,True
predicted_latent,train_09,0.003,0.0015,0.9999999999648036,0.9999999998578548,0.9999998448670261,0.000557819273136822,2362.8257865107876,1181.448787881487,True
predicted_latent,train_10,0.003,0.0015,0.9999999999652851,0.999999999856087,0.9999908160907646,0.004574233225469409,4941.468258893173,2466.762288804962,True
predicted_latent,train_11,0.003,0.0015,0.999999999964712,0.9999999998598577,0.9999993067451765,0.001226264212680929,2523.5866386220064,1262.2260827879013,True
predicted_latent,train_12,0.003,0.0015,0.9999999999657406,0.9999999998564204,0.9999996841345542,0.0008304536105460071,2436.7435795255733,1218.0784538822425,True
predicted_latent,train_13,0.003,0.0015,0.9999999999651252,0.9999999998599389,0.9999996871470314,0.000794207334399216,2769.4581709132467,1384.6302126944815,True
predicted_latent,train_14,0.003,0.0015,0.9999999999648211,0.999999999858365,0.9999990252131571,0.0014309457978114927,3302.2817795087417,1650.622026348761,True
predicted_latent,train_15,0.003,0.0015,0.9999999999651132,0.9999999998623765,0.9999957744471677,0.0029131748489728505,3971.998503231391,1985.6170249118393,True
predicted_latent,train_16,0.003,0.0015,0.9999999999651126,0.9999999998618644,0.9999997921962961,0.0006609473688266425,2222.57036083798,1111.1230306277757,True
predicted_latent,train_17,0.003,0.0015,0.9999999999658101,0.9999999998573518,0.9999981614381817,0.002376208034549509,2584.0547179200744,1293.8450602574615,True
predicted_latent,train_18,0.003,0.0015,0.9999999999649433,0.9999999998615441,0.9999976499601169,0.00230889343826685,3513.8040509529396,1755.5021157232172,True
predicted_latent,train_19,0.003,0.0015,0.9999999999652814,0.9999999998586394,0.9999998714507712,0.0005141256753703983,2077.0671126964435,1038.4450946040402,True
predicted_latent,train_20,0.003,0.0015,0.9999999999652082,0.9999999998611093,0.999978182639485,0.0073963766576903575,2390.517269636336,1191.2554535357601,True
predicted_latent,train_21,0.003,0.0015,0.9999999999653539,0.999999999863085,0.9999989997311678,0.0014638002564715065,3111.9004440614303,1556.5387151375332,True
predicted_latent,train_22,0.003,0.0015,0.9999999999655119,0.9999999998625216,0.9999978003066651,0.0021020212960686816,3553.127096800978,1776.8127489788296,True
predicted_latent,train_23,0.003,0.0015,0.9999999999650298,0.9999999998593682,0.9999992652640812,0.0013763187610706413,2394.8158653003693,1198.1898745082149,True
predicted_latent,train_24,0.003,0.0015,0.999999999965147,0.9999999998585559,0.9999998177729471,0.0006434263006523895,2243.8608444860147,1121.6803559698046,True
predicted_latent,train_25,0.003,0.0015,0.9999999999644915,0.9999999998592084,0.9999964503233466,0.0026692441235674417,4064.5998289517997,2031.9681090061558,True
predicted_latent,train_26,0.003,0.0015,0.9999999999651434,0.9999999998576566,0.9999988460873199,0.001662895546950573,3465.2003965431986,1731.4268997342112,True
